Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,218.899994,220.660004,212.619995,216.350006,197.604218,47641500
2017-04-01,216.509995,219.899994,213.470001,218.600006,200.587875,39168600
2017-05-01,219.160004,222.240005,216.130005,221.669998,203.404877,40652300
2017-06-01,222.139999,225.770004,220.419998,222.059998,203.762741,43549300
2017-07-01,223.089996,227.779999,220.720001,226.639999,208.907349,37712000
2017-08-01,227.300003,228.619995,222.119995,227.300003,209.515701,37622400
2017-09-01,227.759995,230.899994,224.979996,230.759995,212.704987,33381500
2017-10-01,231.000000,236.880005,230.910004,236.130005,218.769653,33049800
2017-11-01,237.029999,244.399994,234.820007,243.350006,225.458817,43311300
2017-12-01,243.250000,248.009995,239.520004,245.289993,227.256195,44190300
2018-01-01,246.149994,263.369995,245.740005,258.989990,241.104660,63544700
2018-02-01,258.290009,260.119995,232.419998,249.339996,232.121078,88662700
2018-03-01,249.529999,257.709991,237.529999,242.080002,225.362442,63873500
2018-04-01,241.190002,249.220001,233.919998,242.919998,227.178772,57319400
2018-05-01,242.449997,251.940002,237.919998,248.789993,232.668381,43981400
2018-06-01,250.229996,256.769989,246.630005,249.509995,233.341721,54654400
2018-07-01,247.559998,261.250000,247.320007,258.399994,242.785904,45574600
2018-08-01,258.640015,268.049988,256.480011,266.720001,250.603104,49555700
2018-09-01,266.350006,270.670013,263.450012,267.049988,250.913193,48732300
2018-10-01,268.459991,269.470001,238.789993,248.789993,234.812851,91439900
2018-11-01,249.630005,258.440002,241.729996,253.479996,239.239334,61115400
2018-12-01,257.649994,257.739990,214.830002,229.809998,216.899155,128542800
2019-01-01,226.179993,248.529999,223.970001,248.009995,235.343918,81247700
2019-02-01,248.309998,258.609985,246.199997,256.070007,242.992294,57656000
2019-03-01,257.809998,262.589996,250.339996,259.540009,246.285080,62970600
2019-04-01,261.459991,270.410004,261.190002,270.010010,257.662659,41351400
2019-05-01,270.679993,270.869995,252.770004,252.869995,241.306458,72318000
2019-06-01,252.830002,272.790009,250.770004,269.149994,256.842041,48686500
2019-07-01,272.459991,277.549988,270.299988,273.079987,261.946350,55490400
2019-08-01,273.279999,276.279999,258.700012,268.600006,257.649017,76101400
2019-09-01,266.829987,277.980011,265.679993,272.600006,261.485992,45894200
2019-10-01,273.440002,279.690002,261.589996,278.549988,268.465179,52876500
2019-11-01,280.049988,289.779999,279.910004,288.649994,278.199402,43686600
2019-12-01,289.029999,297.510010,282.100006,295.799988,285.090637,56497300
2020-01-01,297.290009,305.920013,294.350006,295.690002,286.365723,66810800
2020-02-01,297.119995,311.589996,262.250000,271.739990,263.170868,99630500
2020-03-01,274.000000,288.320007,200.550003,236.820007,229.352097,281765600
2020-04-01,227.919998,271.000000,224.130005,267.100006,259.891632,149156600
2020-05-01,262.140015,282.040009,253.970001,279.750000,272.200226,92558000
2020-06-01,279.070007,297.320007,272.769989,283.429993,275.780914,98699000
2020-07-01,284.369995,300.619995,283.950012,300.100006,293.518890,73796600
2020-08-01,301.649994,322.829987,301.130005,321.019989,313.980072,61300400
2020-09-01,321.809998,329.670013,295.040009,307.649994,300.903320,74308600
2020-10-01,310.160004,325.220001,296.369995,299.820007,294.495148,62731400
2020-11-01,303.369995,335.200012,300.630005,332.640015,326.732300,67817500
2020-12-01,335.920013,344.369995,333.769989,343.690002,337.585999,62114200
2021-01-01,345.019989,354.649994,335.369995,340.179993,335.504700,67310300
2021-02-01,343.630005,362.369995,341.399994,349.589996,344.785400,65396000
2021-03-01,354.549988,366.049988,341.920013,364.299988,359.293213,115891100
2021-04-01,366.200012,386.739990,366.029999,383.570007,379.632385,77399700
2021-05-01,385.559998,388.679993,372.130005,386.130005,382.166107,91773000
2021-06-01,388.500000,394.450012,382.519989,393.519989,389.480194,68945800
2021-07-01,394.299988,406.130005,387.929993,403.149994,400.364777,87926800
2021-08-01,404.779999,416.559998,400.920013,415.049988,412.182556,81076600
2021-09-01,416.049988,417.440002,394.339996,394.399994,391.675232,103239900
2021-10-01,396.230011,422.519989,391.959991,422.160004,420.618378,93889200
2021-11-01,423.190002,435.410004,418.630005,419.059998,417.529694,100230100
2021-12-01,424.470001,440.359985,412.769989,436.570007,434.975769,142342900
2022-01-01,437.929993,441.260010,386.839996,413.690002,413.690002,209398300
2022-02-01,414.339996,421.179993,377.500000,402.369995,402.369995,166280000
2022-02-25,394.950012,402.519989,393.395508,402.369995,402.369995,11606714
